
File : data/001_TODO.js

File : data/002.js
25.0;5;882;-23;2.1;77.7;-2.4;0.46;4.24;-0.15
26.0;7;962;-25;2.5;81.9;-2.6;0.52;4.31;-0.15
27.0;10;1046;-28;3.1;86.3;-2.7;0.59;4.36;-0.16
28.0;14;1134;-30;3.7;90.7;-2.9;0.66;4.41;-0.16
29.0;18;1227;-33;404;95.1;-3.0;0.74;4.51;-0.16
30.0;22;1324;-37;5.2;99.6;-3.2;0.84;4.60;-0.18
31.0;28;1426;-40;6.1;104.3;-3.4;0.95;4.65;-0.21
32.0;35;1533;-43;7.1;109.0;-3.6;1.06;4.72;-0.24
33.0;42;1644;-47;8.2;113.7;-3.9;1.18;4.82;-0.26
34.0;51;1760;-51;9.5;118.6;-4.1;1.31;4.94;-0.27
35.0;61;1882;-55;10.8;123.6;-4.4;1.43;5.04;-0.27
36.0;73;2008;-60;12.3;128.7;-4.7;1.53;5.13;-0.27
37.0;86;2139;-65;13.9;133.8;-4.9;1.62;5.21;-0.27
38.0;101;2275;-70;15.6;139.1;-5.2;1.72;5.29;-0.29
39.0;117;2417;-75;17.3;144.4;-5.5;1.83;5.37;-0.32
40.0;135;2564;-81;19.2;149.8;-5.9;1.96;5.46;-0.33
41.0;156;2717;-87;21.3;155.4;-6.2;2.11;5.56;-0.32
42.0;178;2875;-93;23.4;161.0;-6.5;2.25;5.65;-0.28
43.0;202;3039;-100;25.7;166.7;-6.7;2.38;5.75;-0.23
44.0;229;3209;-107;28.2;172.5;-7.6;2.51;5.84;-0.21
45.0;259;3384;-114;30.8;178.3;-7.2;2.64;5.92;-0.20
46.0;291;3565;-121;33.5;184.3;-7.4;2.79;6.01;-0.20
47.0;326;3753;-128;36.4;190.4;-7.6;2.97;6.09;-0.20
48.0;364;3946;-136;39.4;196.5;-7.8;3.17;5.16;-0.21
49.0;405;4146;-144;42.7;202.7;-8.0;3.38;6.22;-0.21
50.0;449;4351;-152;46.2;208.9;-8.2;3.57;6.28;-0.23
51.0;497;4564;-160;49.8;215.2;-8.4;3.76;6.35;-0.23
52.0;549;4782;-169;53.7;221.6;-8.6;3.95;6.43;-0.22
53.0;605;5007;-178;57.8;228.1;-8.8;4.15;6.51;-0.20
54.0;664;5238;-187;62.0;234.6;-9.6;4.36;6.58;-0.17
55.0;729;5476;-196;66.5;241.2;-9.2;4.56;6.65;-0.15
56.0;797;5721;-205;71.1;247.9;-9.3;4.76;6.71;0.12
57.0;871;5972;-214;76.0;254.7;-9.4;4.94;6.78;-0.08
58.0;949;6230;-224;81.0;261.5;-9.5;5.12;6.83;-0.03
59.0;1033;6495;-233;86.2;268.3;-9.5;5.32;6.87;0.00
60.0;1122;6767;-243;91.7;275.2;-9.5;5.54;6.88;0.01
61.0;1216;7046;-252;97.3;282.0;-9.5;5.77;6.83;-0.01
62.0;1317;7331;-262;103.2;288.8;-9.5;5.96;6.76;-0.05
63.0;1423;7623;-271;109.2;295.6;-9.6;6.12;6.68;-0.08
63.690;1499;7829;-278;113.5;300.2;-9.6;6.22;6.62;-0.11

File : data/003.js
64.0;1535;7922;-281;115.4;302.2;-9.7;6.28;6.60;-0.12
65.0;1654;8228;-291;121.8;308.8;-9.8;6.46;6.55;-0.12
66.0;1779;8540;-300;128.4;315.3;-9.9;6.70;6.53;-0.11
67.0;1910;8859;-310;135.2;321.9;-10.0;6.97;6.57;-0.08
68.0;2049;9184;-320;142.3;328.5;-10.1;7.24;6.66;-0.06
69.0;2195;9516;-331;149.7;335.2;-10.1;7.50;6.76;-0.05
70.0;2348;9854;-341;157.3;342.0;-10.2;7.78;6.85;-0.06
71.0;2510;10200;-351;165.3;348.9;-10.3;8.09;6.93;-0.07
72.0;2679;10552;-361;173.5;355.9;-10.3;8.42;7.01;-0.05
73.0;2857;10912;-372;182.1;362.9;-10.3;8.75;7.09;-0.03
74.0;3043;11278;-382;191.0;370.0;-10.4;9.06;7.16;-0.02
75.0;3239;11652;-392;200.2;377.2;-10.4;9.38;7.23;-0.03
76.0;3444;12033;-403;209.7;384.5;-10.4;9.68;7.30;-0.03
77.0;3658;12421;-413;219.5;391.8;-10.4;9.93;7.43;0.04
78.0;3883;12817;-424;229.6;399.3;-10.3;10.15;7.53;0.15
79.0;4118;13220;-434;239.8;406.9;-10.1;10.35;7.67;0.25
79.500;4239;13424;-439;245.0;410.8;-10.0;10.47;7.75;0.26
80.0;4363;13630;-444;250.3;414.6;-9.9;10.59;7.81;0.26
81.0;4618;14049;-454;261.1;422.5;-9.7;10.88;7.91;0.16
82.0;4885;14476;-463;272.1;430.5;-9.6;11.23;7.99;0.03
83.0;5163;14910;-473;283.5;438.5;-9.6;11.63;8.04;-0.04
84.0;5452;15353;-482;295.4;446.5;-9.6;12.02;8.08;-0.02
85.0;5753;15803;-492;307.6;454.6;-9.6;12.41;8.12;0.02
86.0;6067;16262;-502;320.2;462.8;-9.6;12.78;8.18;0.08
87.0;6394;16729;-511;333.1;471.0;-9.5;13.08;8.28;0.15
88.0;6733;17204;-521;346.3;479.4;-9.3;13.33;8.39;0.19
89.0;7086;17688;-530;359.7;487.8;-9.1;13.59;8.48;0.18
90.0;7453;18180;-539;373.5;496.3;-8.9;13.89;8.54;0.16
91.0;7833;18681;-548;387.6;504.9;-8.8;14.24;8.58;0.13
92.0;8228;19190;-556;402.0;513.5;-8.6;14.62;8.62;0.15
93.0;8638;19708;-565;416.8;522.1;-8.6;14.99;8.61;-0.01
94.0;9062;20234;-573;431.9;530.7;-8.7;15.33;8.64;-0.14
95.0;9501;20769;-582;447.5;539.4;-8.8;15.71;8.70;-0.18
96.0;9957;21313;-591;463.4;548.1;-8.9;16.12;8.78;-0.08
97.0;10428;21866;-600;479.7;557.0;-8.9;16.50;8.89;0.08
98.0;10916;22427;-609;496.4;565.9;-8.8;16.85;8.98;0.18
99.0;11421;22998;-617;513.4;574.9;-8.7;17.15;9.02;0.15
100.0;11943;23577;-626;530.7;583.9;-8.5;17.44;9.03;0.03
101.0;12483;24166;-635;548.3;593.0;-8.5;17.78;9.10;0.05
102.0;13040;24763;-643;566.2;602.1;-8.4;18.16;9.16;0.07

File : data/004.js
103.0;13615;25370;-651;584.6;611.3;-8.4;18.55;9.19;0.04
104.0;14209;25986;-660;603.3;62015;-8.4;18.93;9.20;-0.01
105.0;14822;26611;-668;622.4;629.7;-8.4;19.31;9.23;-0.01
106.0;15454;27245;-677;641.9;63919;-8.4;19.67;9.27;0.01
107.0;16106;27889;-685;661.8;648.3;-8.4;20.03;9.33;0.03
108.0;16778;28542;-693;682.0;657.6;-8.3;20.39;9.38;0.06
109.0;17470;29204;-702;702.6;667.0;-8.3;20.76;9.42;0.08
110.0;18183;29876;-710;723.5;67664;-8.2;21.15;9.43;0.08
111.0;18917;30557;-718;744.9;685.9;-8.1;21.51;9.47;0.09
112.0;19673;31248;-726;766.6;69514;-8.0;21.89;9.50;0.08
113.0;20450;31948;-734;788.6;704.9;-7.9;22.28;9.54;0.07
114.0;21250;32658;-742;811.1;714.4;-7.9;22.67;9.58;0.07
115.0;22073;33377;-750;834.0;724.1;-7.8;23.06;9.63;0.09
116.0;22918;34106;-757;857.2;73317;-7.7;23.47;9.68;0.12
117.0;23787;34845;-765;880.9;743.4;-7.6;23.87;9.73;0.11
118.0;24680;35593;-773;905.0;753.2;-7.5;24.25;9.78;0.09
11910;25598;36351;-780;929.4;763.0;-7.4;24.66;9.83;0.08
12010;26539;37119;-787;954.3;772.8;-7.3;25.07;9.87;0.10
12110;27506;37897;-794;979.6;782.7;-7.2;25.50;9.90;0.11
122.0;28499;38684;-802;1005.3;792.6;-7.1;26.02;9.86;0.09
123.0;29517;39482;-809;1031.6;802.4;-7.0;26.53;9.83;0.03
124.0;30567;40291;-816;1058.4;812.3;-7.0;26.94;9.89;-0.07
125.0;31638;41109;-823;1085.3;822.3;-7.4;27.38;9.97;-0.03
126.0;32731;41934;-830;1112.6;832.4;-7.7;27.95;9.98;0.12
127.0;33858;42772;-838;1140.8;842.4;-7.6;28.28;10.07;0.02
128.0;35013;43620;-846;1169.3;852.5;-7.6;28.60;10.18;-0.05
129.0;36197;44477;-853;1198.1;862.7;-7.6;29.05;10.25;0.03
130.0;37410;45345;-861;1227.4;872.9;-7.5;29.69;10.20;-.07
131.0;38653;46223;-869;1257.2;883.2;-7.6;30.06;10.28;-0.11
132.0;39926;47112;-876;1287.6;893.5;-7.8;30.56;10.26;-0.12
133.0;41229;48011;-884;1318.4;903.8;-7.9;31.01;19.30;-0.16
134.0;42564;48920;-893;1349.7;913.9;-8.1;31.63;19.30;-0.10
